user,text,place,created_at
Abi,Iw? ti ? ba ni ?ru ni il? lo ?ru ? dada ?na l? jo jin ?ru ni il?. S?bi ir? ti a ba ni  l?wo ti o ba bani de il? ohn? https://t.co/NH22zGIouj,"New York, USA",Wed Mar 27 11:19:25 +0000 2019
Jake,Stay true to your word and you got my respect,"New York, USA",Wed Mar 27 11:19:28 +0000 2019
CARTIER Laure,@amijodoin @FloretteRichard @JeanneReinhart @catestake @encarnacion67 @BergerBerge @JosetteJ1 @OHaraHelene? https://t.co/2w7KX6N8M3,Canada,Wed Mar 27 11:19:33 +0000 2019
511NY - Albany,Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/nrBfL7gwAU,"New York, USA",Wed Mar 27 11:19:34 +0000 2019
511 New York,Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/GhJeJMTmk3,"New York, USA",Wed Mar 27 11:19:35 +0000 2019
"Town of Lewiston, NY",https://t.co/zCA9dRl8Gu,"New York, USA",Wed Mar 27 11:19:44 +0000 2019
Don Tetrault,@IngrahamAngle @BreitbartNews Sick.... this must end now,"New York, USA",Wed Mar 27 11:19:50 +0000 2019
.,@MontezTheMenace nah they just putting they selfies on a naked nigga so when u open it u see some other niggas piece.,"New York, USA",Wed Mar 27 11:19:59 +0000 2019
Seraphim Mary+,"@angelicakorbas The redemptive work of Jesus Christ covers all errors, even 'diskexic skips', now go and BE a blessing today! sm+","Ottawa, Ontario",Wed Mar 27 11:20:02 +0000 2019
Ms. Respex is Spexy ????,"@Pauncho_Smith Using this reading based on the song, to Stan would just mean you want to emulate someone or their a? https://t.co/Wl39ubqWlo","New York, USA",Wed Mar 27 11:20:06 +0000 2019
Ghost investigators New York,Good morning beautiful #PARAFAMILY feeling like crap this morning; this allergies are killing me ??????,"New York, USA",Wed Mar 27 11:20:18 +0000 2019
Public School Trash,"suburban dads love ""bold"" coffee.","New York, USA",Wed Mar 27 11:20:38 +0000 2019
Jim Parrillo ??????,@VeeCeeMurphy76 @jackjonesbabe Ugh... Dum dums still believe he's a Democrat. https://t.co/fWgkplP8BW,"New York, USA",Wed Mar 27 11:20:53 +0000 2019
511NY - Albany,Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/s1OAhhjknR,"New York, USA",Wed Mar 27 11:20:58 +0000 2019
Chad Orzel,"And it turns out, that tradition of only bringing in people who failed was ending THAT YEAR, because as the Dean pu? https://t.co/hS3T2DQp8a","New York, USA",Wed Mar 27 11:21:08 +0000 2019
511 New York,Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/Uw3WfWUsYH,"New York, USA",Wed Mar 27 11:21:10 +0000 2019
Total Traffic NYC,"Disabled vehicle, right lane blocked in #AreaOfStatenIslandCrossingsOuterbridgeSi on The Outerbridge Crossing SB ... https://t.co/cLJ9IKsg5n","New York, USA",Wed Mar 27 11:21:18 +0000 2019
Dra8er,My new pin should draw out some of the Old School crowd https://t.co/EV1AgOOXxs,"New York, USA",Wed Mar 27 11:21:29 +0000 2019
Karen Albeck,"@NeverThatRobin2 @HeyokaMuse To be sure I understand, this is a *punishment*?","New York, USA",Wed Mar 27 11:21:37 +0000 2019
"Town of Lewiston, NY",https://t.co/HA667HK52K,"New York, USA",Wed Mar 27 11:21:39 +0000 2019
Brenda Lee,@SocialPowerOne1 @dyny1bn LOLOL,"New York, USA",Wed Mar 27 11:21:46 +0000 2019
Don Tetrault,@barmore27 @howgreatJr @gatewaypundit Ring leader,"New York, USA",Wed Mar 27 11:21:50 +0000 2019
